"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Barbados","BRB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187.855995973502","247.3611862029","292.562566090941","383.403213552072","477.486175721935","574.785156523812","643.815868661563","768.604598351693","868.682428543021",
"Brunei Darussalam","BRN","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1685698553439","58.4218975432322","122.810403294326","150.832919160973","241.599535347964","573.622522637603","612.196283944736","1620.83336278161","1988.52112774558",
"Bhutan","BTN","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.45878282078999","2.88476239654521","11.4027848451288","9.85585113722442","18.079259473532","19.2340453593744","36.6494776092053","118.030816773252","177.626015053142",
"Botswana","BWA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.529202030089","5.95414711308215","9.8060798675787","10.6664804880981","19.1514564203821","35.3654143223326","50.9272462619401","68.4767505559768","133.532908098305",
"Central African Republic","CAF","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.224005555337772","0.22256001887309","0.220376592744277","0.435158358478234","0.642897048395361",
"Canada","CAN","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1282.69790852721","1641.93661564955","2146.09447390179","2362.88540582985","2697.82505421174","3386.89498345625","10221.4412517132","26568.8801187775","30952.3046259172",
"Central Europe and the Baltics","CEB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.275642129341","220.505995937299","401.701758395544","523.66260566128","702.644297621848","989.775576266425","4145.88789599833","13204.8290124007","21424.9226543621",
"Switzerland","CHE","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1449.6015225225","2439.08357491623","3486.49301269586","3954.9550730059","4897.99965781901","6938.08892982176","17196.7260846272","32951.9962517038","68137.0363538351",
"Channel Islands","CHI","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3002686118875","64.4091510664995","102.928981818581","127.42219548955","165.156076997531","223.992483201816","1237.18578018381","7258.19240138255","8073.29319627789",
